county,state,pop_2010,pop_2018,pct_chg
Montgomery,Arkansas,9506,8924,-6.12
Amite,Mississippi,13130,12326,-6.12
Carroll,Ohio,28847,27081,-6.12
Sac,Iowa,10354,9719,-6.13
Harrison,Missouri,8963,8414,-6.13
Potter,South Dakota,2351,2207,-6.13
Newton,Arkansas,8316,7805,-6.14
Webster,Georgia,2782,2611,-6.15
Monona,Iowa,9248,8679,-6.15
Robertson,Kentucky,2275,2135,-6.15
San Miguel,New Mexico,29398,27591,-6.15
Carlisle,Kentucky,5084,4771,-6.16
Pembina,North Dakota,7403,6947,-6.16
Ohio,West Virginia,44495,41755,-6.16
Lawrence,Arkansas,17518,16434,-6.19
Edgar,Illinois,18507,17360,-6.2
Greer,Oklahoma,6207,5821,-6.22
Martinsville city,Virginia,13760,12902,-6.24
Grant,Kansas,7825,7336,-6.25
Decatur,Iowa,8419,7890,-6.28
Washington,Kansas,5784,5420,-6.29
Lauderdale,Mississippi,80388,75317,-6.31
Mecklenburg,Virginia,32715,30650,-6.31
Coal,Oklahoma,5894,5520,-6.35
Susquehanna,Pennsylvania,43343,40589,-6.35
Reynolds,Missouri,6680,6254,-6.38
Lunenburg,Virginia,12910,12086,-6.38
Roosevelt,New Mexico,20022,18743,-6.39
Campbell,South Dakota,1471,1377,-6.39
White,Illinois,14600,13665,-6.4
Aroostook,Maine,71701,67111,-6.4
Traverse,Minnesota,3534,3308,-6.4
Pierce,North Dakota,4360,4081,-6.4
Cotton,Oklahoma,6171,5776,-6.4
Rio Grande,Colorado,12023,11250,-6.43
Pulaski,Indiana,13326,12469,-6.43
Montgomery,Iowa,10690,10003,-6.43
Tyrrell,North Carolina,4415,4131,-6.43
Dorado Municipio,Puerto Rico,38239,35779,-6.43
Sussex,Virginia,12011,11237,-6.44
Worth,Georgia,21700,20299,-6.46
Haskell,Kansas,4273,3997,-6.46
Kanawha,West Virginia,192913,180454,-6.46
Hale,Alabama,15745,14726,-6.47
Clay,Kansas,8550,7997,-6.47
Roane,West Virginia,14895,13932,-6.47
Osceola,Iowa,6459,6040,-6.49
Bond,Illinois,17787,16630,-6.5
Cherokee,Iowa,12109,11321,-6.51
Juncos Municipio,Puerto Rico,40349,37723,-6.51
Carroll,Mississippi,10602,9911,-6.52
Arkansas,Arkansas,19011,17769,-6.53
Hancock,Illinois,19091,17844,-6.53
Fayette,West Virginia,46033,43018,-6.55
Blackford,Indiana,12771,11930,-6.59
Koochiching,Minnesota,13318,12440,-6.59
Cheyenne,Nebraska,9968,9310,-6.6
Franklin city,Virginia,8581,8013,-6.62
Union,Indiana,7537,7037,-6.63
Cross,Arkansas,17862,16676,-6.64
Smith,Kansas,3860,3603,-6.66
Rush,Kansas,3314,3093,-6.67
Kittson,Minnesota,4553,4248,-6.7
Ritchie,West Virginia,10419,9721,-6.7
Early,Georgia,10984,10247,-6.71
Edwards,Kansas,3054,2849,-6.71
Morris,Kansas,5918,5521,-6.71
Emmons,North Dakota,3532,3295,-6.71
Hale,Texas,36270,33830,-6.73
Coamo Municipio,Puerto Rico,40576,37845,-6.73
Clarke,Mississippi,16731,15604,-6.74
Barnwell,South Carolina,22637,21112,-6.74
Venango,Pennsylvania,54976,51266,-6.75
Miner,South Dakota,2374,2213,-6.78
Bullock,Alabama,10878,10138,-6.8
Lincoln,Kansas,3244,3023,-6.81
Franklin,Nebraska,3244,3023,-6.81
Mississippi,Missouri,14312,13336,-6.82
Renville,Minnesota,15683,14612,-6.83
Lauderdale,Tennessee,27719,25825,-6.83
Red River Parish,Louisiana,9099,8477,-6.84
Lake of the Woods,Minnesota,4035,3758,-6.86
Allen,Kansas,13363,12444,-6.88
Jackson,Arkansas,18057,16811,-6.9
Scott,Virginia,23129,21534,-6.9
Marshall,West Virginia,33071,30785,-6.91
Grant,New Mexico,29381,27346,-6.93
Lawrence,Illinois,16940,15765,-6.94
Kingman,Kansas,7857,7310,-6.96
Bienville Parish,Louisiana,14308,13308,-6.99
Morrill,Nebraska,5039,4686,-7.01
Carroll,Illinois,15392,14312,-7.02
Cherokee,Kansas,21527,20015,-7.02
Delaware,New York,47889,44527,-7.02
San Augustine,Texas,8854,8232,-7.03
Iroquois,Illinois,29701,27604,-7.06
Nuckolls,Nebraska,4514,4195,-7.07
Washington,Alabama,17627,16378,-7.09
Trego,Kansas,3006,2793,-7.09
Dickey,North Dakota,5277,4903,-7.09
Magoffin,Kentucky,13308,12362,-7.11
Briscoe,Texas,1632,1516,-7.11
Can�vanas Municipio,Puerto Rico,47685,44296,-7.11
Boyd,Nebraska,2105,1955,-7.13
Clarke,Alabama,25765,23920,-7.16
Halifax,North Carolina,54474,50574,-7.16
Cass,Iowa,13929,12930,-7.17
Claiborne Parish,Louisiana,17175,15944,-7.17
Clay,Kentucky,21660,20105,-7.18
Hardeman,Tennessee,27171,25220,-7.18
Conecuh,Alabama,13234,12277,-7.23
Bristol city,Virginia,17767,16482,-7.23
Jewell,Kansas,3063,2841,-7.25
Webster,Nebraska,3809,3533,-7.25
Sierra,California,3221,2987,-7.26
Miller,Georgia,6131,5686,-7.26
Comanche,Kansas,1885,1748,-7.27
Choctaw,Alabama,13849,12841,-7.28
Labette,Kansas,21534,19964,-7.29
Vernon Parish,Louisiana,52714,48860,-7.31
Russell,Virginia,28857,26748,-7.31
Hartley,Texas,6064,5619,-7.34
Van Buren,Iowa,7577,7020,-7.35
Anson,North Carolina,26852,24877,-7.36
Ozark,Missouri,9734,9017,-7.37
Mason,Illinois,14651,13565,-7.41
Prairie,Arkansas,8721,8074,-7.42
Catahoula Parish,Louisiana,10378,9608,-7.42
Bland,Virginia,6799,6293,-7.44
Bell,Kentucky,28709,26569,-7.45
Greeley,Nebraska,2546,2356,-7.46
Nevada,Arkansas,8998,8326,-7.47
Martin,North Carolina,24501,22671,-7.47
Brooke,West Virginia,23995,22203,-7.47
Sutton,Texas,4062,3758,-7.48
Clay,Arkansas,16049,14847,-7.49
Guadalupe,New Mexico,4693,4341,-7.5
Geary,Kansas,35240,32594,-7.51
Hatillo Municipio,Puerto Rico,41979,38826,-7.51
Pulaski,Georgia,11970,11069,-7.53
Scott,Illinois,5327,4926,-7.53
Pocahontas,Iowa,7289,6740,-7.53
Kiowa,Oklahoma,9442,8729,-7.55
Knott,Kentucky,16363,15126,-7.56
Washakie,Wyoming,8530,7885,-7.56
Cabo Rojo Municipio,Puerto Rico,50971,47117,-7.56
Sumter,Alabama,13730,12691,-7.57
Throckmorton,Texas,1639,1515,-7.57
Cleveland,Arkansas,8678,8018,-7.61
Griggs,North Dakota,2416,2232,-7.62
Winn Parish,Louisiana,15302,14134,-7.63
Tunica,Mississippi,10765,9944,-7.63
Sullivan,Missouri,6737,6221,-7.66
Wetzel,West Virginia,16537,15270,-7.66
Piute,Utah,1565,1445,-7.67
McIntosh,North Dakota,2800,2585,-7.68
Dooly,Georgia,14851,13706,-7.71
Wilson,Kansas,9392,8665,-7.74
Madison Parish,Louisiana,12105,11161,-7.8
Barber,Kansas,4852,4472,-7.83
Haywood,Tennessee,18812,17335,-7.85
McCormick,South Carolina,10213,9410,-7.86
Dunklin,Missouri,31945,29423,-7.89
Mora,New Mexico,4893,4506,-7.91
Clay,West Virginia,9373,8632,-7.91
Morovis Municipio,Puerto Rico,32651,30068,-7.91
Gogebic,Michigan,16396,15096,-7.93
Livingston,Illinois,38856,35761,-7.97
Jefferson,Mississippi,7721,7106,-7.97
Alleghany,Virginia,16201,14910,-7.97
Montgomery,Mississippi,10894,10023,-8
Adair,Iowa,7679,7063,-8.02
Lee,Virginia,25598,23541,-8.04
Gilmer,West Virginia,8731,8026,-8.07
Dickens,Texas,2447,2249,-8.09
Surry,Virginia,7044,6474,-8.09
Wilcox,Alabama,11564,10627,-8.1
Lac qui Parle,Minnesota,7246,6658,-8.11
Prairie,Montana,1183,1087,-8.11
Galax city,Virginia,6991,6423,-8.12
Bolivar,Mississippi,34105,31333,-8.13
Cottle,Texas,1512,1389,-8.13
Covington city,Virginia,5943,5460,-8.13
Tillman,Oklahoma,8000,7348,-8.15
Ashley,Arkansas,21828,20046,-8.16
Breathitt,Kentucky,13857,12726,-8.16
Edgecombe,North Carolina,56626,52005,-8.16
Cambria,Pennsylvania,143450,131730,-8.17
Hampton,South Carolina,21072,19351,-8.17
McDonough,Illinois,32628,29955,-8.19
Jones,South Dakota,1011,928,-8.21
Noxubee,Mississippi,11480,10535,-8.23
Latimer,Oklahoma,11153,10231,-8.27
Nelson,North Dakota,3128,2869,-8.28
Scott,Arkansas,11252,10319,-8.29
Cloud,Kansas,9519,8729,-8.3
Culberson,Texas,2404,2204,-8.32
Schuyler,Illinois,7535,6907,-8.33
Harper,Kansas,6007,5506,-8.34
Dickenson,Virginia,15847,14523,-8.35
St. Helena Parish,Louisiana,11199,10262,-8.37
Monroe,Alabama,23007,21067,-8.43
Taylor,Georgia,8779,8039,-8.43
Massac,Illinois,15380,14080,-8.45
Marion,Mississippi,26997,24715,-8.45
Summers,West Virginia,13940,12760,-8.46
Greene,Alabama,8995,8233,-8.47
Ness,Kansas,3104,2840,-8.51
Garden,Nebraska,2075,1897,-8.58
Wise,Virginia,41585,38012,-8.59
Hamilton,New York,4851,4434,-8.6
Jefferson,Georgia,16884,15430,-8.61
Atchison,Missouri,5658,5171,-8.61
Talbot,Georgia,6864,6272,-8.62
Henderson,Illinois,7343,6709,-8.63
Marshall,Illinois,12629,11534,-8.67
Harmon,Oklahoma,2917,2664,-8.67
Twiggs,Georgia,8969,8188,-8.71
Marlboro,South Carolina,28917,26398,-8.71
Dawson,Texas,13827,12619,-8.74
New Madrid,Missouri,18954,17296,-8.75
St. Mary Parish,Louisiana,54557,49774,-8.77
Clark,Kansas,2199,2005,-8.82
Tallahatchie,Mississippi,15340,13987,-8.82
Floyd,Texas,6403,5837,-8.84
Pendleton,West Virginia,7676,6997,-8.85
Trinity,California,13754,12535,-8.86
Lee,Kentucky,7718,7033,-8.88
Morehouse Parish,Louisiana,27872,25398,-8.88
Sierra,New Mexico,12042,10968,-8.92
Barbour,Alabama,27330,24881,-8.96
Perry,Kentucky,28661,26092,-8.96
Stonewall,Texas,1496,1362,-8.96
Quay,New Mexico,9066,8253,-8.97
Marengo,Alabama,20946,19066,-8.98
Emery,Utah,11005,10014,-9
Hickman,Kentucky,4859,4421,-9.01
Daggett,Utah,1077,980,-9.01
Sumter,Georgia,32683,29733,-9.03
East Carroll Parish,Louisiana,7737,7037,-9.05
Coosa,Alabama,11782,10715,-9.06
Bath,Virginia,4721,4292,-9.09
Clay,Georgia,3176,2887,-9.1
Stark,Illinois,5970,5427,-9.1
Montgomery,Kansas,35353,32120,-9.14
Toole,Montana,5343,4853,-9.17
Warren,Georgia,5782,5251,-9.18
Holmes,Mississippi,19405,17622,-9.19
Gallatin,Illinois,5574,5058,-9.26
Quitman,Georgia,2513,2279,-9.31
Chautauqua,Kansas,3649,3309,-9.32
Union,New Mexico,4542,4118,-9.34
Greenwood,Kansas,6680,6055,-9.36
Ouachita,Arkansas,26047,23606,-9.37
Barranquitas Municipio,Puerto Rico,30324,27476,-9.39
Adams,Iowa,4023,3645,-9.4
Hardin,Illinois,4318,3910,-9.45
Sioux,Nebraska,1311,1187,-9.46
Tazewell,Virginia,45127,40855,-9.47
Webster,West Virginia,9153,8285,-9.48
Modoc,California,9699,8777,-9.51
Bent,Colorado,6500,5882,-9.51
Terrell,Georgia,9525,8611,-9.6
Harlan,Kentucky,29219,26409,-9.62
Santa Isabel Municipio,Puerto Rico,23290,21037,-9.67
Audubon,Iowa,6098,5506,-9.71
Washington,North Carolina,13135,11859,-9.71
Osborne,Kansas,3850,3475,-9.74
St. Francis,Arkansas,28195,25439,-9.77
Meade,Kansas,4596,4146,-9.79
Hyde,South Dakota,1422,1282,-9.85
Hall,Texas,3359,3028,-9.85
Cochran,Texas,3147,2836,-9.88
Jefferson Davis,Mississippi,12472,11234,-9.93
Emmet,Iowa,10276,9253,-9.96
Baker,Georgia,3435,3092,-9.99
Hyde,North Carolina,5811,5230,-10
Leslie,Kentucky,11278,10143,-10.06
Fulton,Kentucky,6806,6120,-10.08
Cass,Illinois,13638,12260,-10.1
Vieques Municipio,Puerto Rico,9305,8364,-10.11
Lane,Kansas,1736,1560,-10.14
Floyd,Kentucky,39931,35845,-10.23
Pike,Kentucky,65075,58402,-10.25
Macon,Georgia,14645,13143,-10.26
Vega Alta Municipio,Puerto Rico,39946,35806,-10.36
Hormigueros Municipio,Puerto Rico,17250,15462,-10.37
Rinc�n Municipio,Puerto Rico,15203,13627,-10.37
Holt,Missouri,4915,4404,-10.4
Sharkey,Mississippi,4886,4377,-10.42
Butte,Idaho,2915,2611,-10.43
Bertie,North Carolina,21245,19026,-10.44
Naranjito Municipio,Puerto Rico,30387,27209,-10.46
Woodruff,Arkansas,7249,6490,-10.47
Bamberg,South Carolina,15956,14275,-10.54
Comer�o Municipio,Puerto Rico,20791,18598,-10.55
Florida Municipio,Puerto Rico,12688,11329,-10.71
Northampton,North Carolina,22039,19676,-10.72
Letcher,Kentucky,24534,21899,-10.74
Pulaski,Illinois,6122,5463,-10.76
Rock,Nebraska,1524,1360,-10.76
Lee,South Carolina,19209,17142,-10.76
Foard,Texas,1345,1200,-10.78
Leflore,Mississippi,32418,28919,-10.79
Boone,West Virginia,24605,21951,-10.79
Wilkinson,Mississippi,9863,8792,-10.86
Randolph,Georgia,7666,6833,-10.87
Williamsburg,South Carolina,34347,30606,-10.89
Dallas,Arkansas,8064,7182,-10.94
Pemiscot,Missouri,18271,16272,-10.94
A�asco Municipio,Puerto Rico,29265,26031,-11.05
Mississippi,Arkansas,46394,41239,-11.11
Donley,Texas,3734,3319,-11.11
Desha,Arkansas,12953,11512,-11.12
Adjuntas Municipio,Puerto Rico,19472,17302,-11.14
Mingo,West Virginia,26769,23785,-11.15
Turner,Georgia,8907,7912,-11.17
Sunflower,Mississippi,28981,25735,-11.2
Logan,West Virginia,36722,32607,-11.21
Stanton,Kansas,2245,1987,-11.49
Hancock,Georgia,9434,8348,-11.51
Chicot,Arkansas,11800,10438,-11.54
Humphreys,Mississippi,9335,8257,-11.55
Lassen,California,34832,30802,-11.57
Cameron,Pennsylvania,5082,4492,-11.61
Lowndes,Alabama,11289,9974,-11.65
Presidio,Texas,7876,6948,-11.78
Isabela Municipio,Puerto Rico,45654,40268,-11.8
R�o Grande Municipio,Puerto Rico,54295,47889,-11.8
Washington,Mississippi,51096,45063,-11.81
Colfax,New Mexico,13733,12110,-11.82
Quebradillas Municipio,Puerto Rico,25895,22828,-11.84
Dundy,Nebraska,2008,1770,-11.85
Buchanan,Virginia,24082,21221,-11.88
Jefferson,Arkansas,77339,68114,-11.93
Cidra Municipio,Puerto Rico,43483,38288,-11.95
Cayey Municipio,Puerto Rico,48111,42349,-11.98
De Baca,New Mexico,2029,1781,-12.22
Juana D�az Municipio,Puerto Rico,50736,44510,-12.27
Luquillo Municipio,Puerto Rico,20055,17594,-12.27
Arroyo Municipio,Puerto Rico,19573,17169,-12.28
Martin,Kentucky,12913,11323,-12.31
Wyoming,West Virginia,23726,20786,-12.39
Bristol Bay Borough,Alaska,1002,877,-12.48
San Lorenzo Municipio,Puerto Rico,41023,35900,-12.49
Elk,Kansas,2867,2508,-12.52
Lafayette,Arkansas,7647,6682,-12.62
Aguada Municipio,Puerto Rico,41913,36621,-12.63
Dallas,Alabama,43860,38310,-12.65
Guayama Municipio,Puerto Rico,45277,39521,-12.71
Salinas Municipio,Puerto Rico,31042,27083,-12.75
Cimarron,Oklahoma,2469,2153,-12.8
Hidalgo,New Mexico,4864,4240,-12.83
Caguas Municipio,Puerto Rico,142863,124434,-12.9
Corozal Municipio,Puerto Rico,37130,32320,-12.95
Moca Municipio,Puerto Rico,40100,34909,-12.95
Camuy Municipio,Puerto Rico,35124,30503,-13.16
Aguas Buenas Municipio,Puerto Rico,28655,24848,-13.29
Kit Carson,Colorado,8263,7163,-13.31
Coahoma,Mississippi,26106,22628,-13.32
Humacao Municipio,Puerto Rico,58375,50532,-13.44
Mitchell,Texas,9413,8145,-13.47
Perry,Alabama,10567,9140,-13.5
Emporia city,Virginia,5920,5121,-13.5
Maricao Municipio,Puerto Rico,6277,5426,-13.56
Lee,Arkansas,10396,8985,-13.57
Quitman,Mississippi,8158,7051,-13.57
Orocovis Municipio,Puerto Rico,23421,20221,-13.66
Allendale,South Carolina,10354,8903,-14.01
Sabana Grande Municipio,Puerto Rico,25344,21741,-14.22
Macon,Alabama,21505,18439,-14.26
Guaynabo Municipio,Puerto Rico,97793,83787,-14.32
Aibonito Municipio,Puerto Rico,25874,22143,-14.42
Lajas Municipio,Puerto Rico,25704,21991,-14.45
Ontonagon,Michigan,6776,5795,-14.48
Arecibo Municipio,Puerto Rico,96222,82114,-14.66
Tensas Parish,Louisiana,5231,4462,-14.7
Trujillo Alto Municipio,Puerto Rico,74779,63746,-14.75
Manat� Municipio,Puerto Rico,44041,37393,-15.1
Yabucoa Municipio,Puerto Rico,37881,32158,-15.11
Ciales Municipio,Puerto Rico,18753,15918,-15.12
San Germ�n Municipio,Puerto Rico,35626,30229,-15.15
Patillas Municipio,Puerto Rico,19228,16310,-15.18
Monroe,Arkansas,8138,6900,-15.21
Maunabo Municipio,Puerto Rico,12235,10370,-15.24
Vega Baja Municipio,Puerto Rico,59548,50185,-15.72
San Sebasti�n Municipio,Puerto Rico,42347,35652,-15.81
Jayuya Municipio,Puerto Rico,16641,13947,-16.19
Carolina Municipio,Puerto Rico,176427,147661,-16.3
Toa Baja Municipio,Puerto Rico,89467,74623,-16.59
Utuado Municipio,Puerto Rico,33056,27545,-16.67
Aguadilla Municipio,Puerto Rico,60766,50598,-16.73
Phillips,Arkansas,21676,18029,-16.83
Cata�o Municipio,Puerto Rico,28084,23244,-17.23
Schleicher,Texas,3503,2895,-17.36
Villalba Municipio,Puerto Rico,26003,21476,-17.41
McDowell,West Virginia,22099,18223,-17.54
Guayanilla Municipio,Puerto Rico,21523,17719,-17.67
Morton,Kansas,3240,2667,-17.69
Lo�za Municipio,Puerto Rico,30017,24686,-17.76
Bayam�n Municipio,Puerto Rico,207646,170480,-17.9
San Juan Municipio,Puerto Rico,394239,320967,-18.59
Terrell,Texas,1011,823,-18.6
Mayag�ez Municipio,Puerto Rico,88793,71986,-18.93
Ceiba Municipio,Puerto Rico,13611,11018,-19.05
Yauco Municipio,Puerto Rico,41838,33860,-19.07
Las Mar�as Municipio,Puerto Rico,9869,7961,-19.33
Fajardo Municipio,Puerto Rico,36875,29699,-19.46
Ponce Municipio,Puerto Rico,165723,133191,-19.63
Gu�nica Municipio,Puerto Rico,19376,15551,-19.74
Pe�uelas Municipio,Puerto Rico,24214,19402,-19.87
Lares Municipio,Puerto Rico,30631,24484,-20.07
Alexander,Illinois,8206,6060,-26.15
